"","gravidae","outcome","mediator","mediator_label","age_group","n","ACME_CI"
"54","single","haz_quarter","CD6",NA,">6-9 months",51,"0.1487 (-0.037, 0.4457)"
"55","single","haz_quarter","CD6",NA,">9-12 months",51,"0.1723 (-0.0275, 0.4797)"
"56","single","haz_quarter","CDCP1",NA,"Birth",51,"-0.0298 (-0.2604, 0.1496)"
"57","single","haz_quarter","CDCP1",NA,"1 day-3 months",50,"-0.1005 (-0.4308, 0.114)"
"58","single","haz_quarter","CDCP1",NA,">3-6 months",51,"-0.0395 (-0.2789, 0.1491)"
"59","single","haz_quarter","CDCP1",NA,">6-9 months",51,"0.0724 (-0.1099, 0.3359)"
"60","single","haz_quarter","CDCP1",NA,">9-12 months",51,"0.0562 (-0.0951, 0.2598)"
"61","single","haz_quarter","DNER",NA,"Birth",51,"0.0139 (-0.0887, 0.1453)"
"62","single","haz_quarter","DNER",NA,"1 day-3 months",50,"0.0399 (-0.126, 0.2861)"
"63","single","haz_quarter","DNER",NA,">3-6 months",51,"0.0284 (-0.1377, 0.2396)"
"64","single","haz_quarter","DNER",NA,">6-9 months",51,"-0.0476 (-0.2572, 0.0811)"
"65","single","haz_quarter","DNER",NA,">9-12 months",51,"-0.0421 (-0.2309, 0.0785)"
"66","single","haz_quarter","gestational_weightchange","Gestational weight change (kg)","Birth",127,"0.0161 (-0.0232, 0.0834)"
"67","single","haz_quarter","gestational_weightchange","Gestational weight change (kg)","1 day-3 months",123,"0.0077 (-0.0309, 0.0656)"
"68","single","haz_quarter","gestational_weightchange","Gestational weight change (kg)",">3-6 months",119,"0.0086 (-0.0351, 0.0782)"
"69","single","haz_quarter","gestational_weightchange","Gestational weight change (kg)",">6-9 months",112,"0.0087 (-0.0352, 0.0778)"
"70","single","haz_quarter","gestational_weightchange","Gestational weight change (kg)",">9-12 months",106,"0.0117 (-0.034, 0.0844)"
"71","single","haz_quarter","IL10",NA,"Birth",51,"0.018 (-0.0896, 0.1569)"
"72","single","haz_quarter","IL10",NA,"1 day-3 months",50,"-0.021 (-0.2175, 0.119)"
"73","single","haz_quarter","IL10",NA,">3-6 months",51,"0.0089 (-0.1111, 0.1498)"
"74","single","haz_quarter","IL10",NA,">6-9 months",51,"0.0472 (-0.1175, 0.2858)"
"75","single","haz_quarter","IL10",NA,">9-12 months",51,"0.0244 (-0.0987, 0.1853)"
"76","single","haz_quarter","IL18",NA,"Birth",51,"-0.109 (-0.42, 0.1512)"
"77","single","haz_quarter","IL18",NA,"1 day-3 months",50,"-0.2298 (-0.6264, 0.055)"
"78","single","haz_quarter","IL18",NA,">3-6 months",51,"-0.1382 (-0.5094, 0.1562)"
"79","single","haz_quarter","IL18",NA,">6-9 months",51,"0.035 (-0.2127, 0.3192)"
"80","single","haz_quarter","IL18",NA,">9-12 months",51,"0.0041 (-0.3522, 0.3707)"
"81","single","haz_quarter","LBW",NA,"Birth",146,"0.1242 (-0.1089, 0.3712)"
"82","single","haz_quarter","LBW",NA,"1 day-3 months",142,"0.1064 (-0.1036, 0.3613)"
"83","single","haz_quarter","LBW",NA,">3-6 months",134,"0.1099 (-0.0468, 0.3552)"
"84","single","haz_quarter","OPG",NA,"Birth",51,"0.0176 (-0.1437, 0.1961)"
"85","single","haz_quarter","OPG",NA,"1 day-3 months",50,"0.087 (-0.1352, 0.3869)"
"86","single","haz_quarter","OPG",NA,">3-6 months",51,"0.0688 (-0.166, 0.3627)"
"87","single","haz_quarter","OPG",NA,">6-9 months",51,"0.0028 (-0.2258, 0.2327)"
