,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
1082,CD244,Weight-for-age Z score,All,1 day-3 months,255,0,-0.0327,-0.0303,"[-0.2434, 0.1943]",0.0051,"[-0.041, 0.0541]",0.996,-0.0354,"[-0.253, 0.1918]"
1083,CD244,Weight-for-age Z score,Multi,1 day-3 months,204,1,-2.3654,-0.039,"[-0.299, 0.226]",0,"[-0.0457, 0.0485]",0.994,-0.039,"[-0.2948, 0.2302]"
1084,CD244,Weight-for-age Z score,Multi,1 day-3 months,204,0,-0.0359,-0.0312,"[-0.2938, 0.2424]",0.0054,"[-0.042, 0.0574]",0.964,-0.0366,"[-0.2939, 0.2332]"
1085,CD244,Weight-for-age Z score,Single,1 day-3 months,51,1,1.4657,-0.0713,"[-0.6127, 0.4541]",0.0354,"[-0.265, 0.3856]",0.992,-0.1067,"[-0.7939, 0.5222]"
1086,CD244,Weight-for-age Z score,Single,1 day-3 months,51,0,-0.1045,-0.0698,"[-0.5711, 0.4533]",0.0389,"[-0.2359, 0.3451]",1,-0.1087,"[-0.7009, 0.4775]"
1087,CD244,Weight-for-age Z score,All,>3-6 months,255,1,-1.4251,-0.0625,"[-0.3189, 0.2058]",0.0249,"[-0.0348, 0.096]",0.7,-0.0873,"[-0.3577, 0.2016]"
1088,CD244,Weight-for-age Z score,All,>3-6 months,255,0,-0.0911,-0.0675,"[-0.3178, 0.2165]",0.0272,"[-0.0256, 0.0941]",0.574,-0.0947,"[-0.3568, 0.1901]"
1089,CD244,Weight-for-age Z score,Multi,>3-6 months,204,1,-2.6222,-0.086,"[-0.3789, 0.219]",0.0047,"[-0.0453, 0.0601]",0.998,-0.0907,"[-0.3807, 0.2107]"
1090,CD244,Weight-for-age Z score,Multi,>3-6 months,204,0,-0.0872,-0.0782,"[-0.3898, 0.2351]",0.0107,"[-0.041, 0.0711]",0.994,-0.0889,"[-0.3892, 0.2215]"
1091,CD244,Weight-for-age Z score,Single,>3-6 months,51,1,2.3464,-0.0845,"[-0.7809, 0.5369]",0.1771,"[-0.1001, 0.6306]",0.98,-0.2617,"[-1.0482, 0.4553]"
1092,CD244,Weight-for-age Z score,Single,>3-6 months,51,0,-0.2612,-0.0849,"[-0.7232, 0.5571]",0.1856,"[-0.0881, 0.6058]",0.861,-0.2706,"[-0.9909, 0.4153]"
1093,CD244,Weight-for-age Z score,All,>6-9 months,255,1,-1.1819,-0.1026,"[-0.3591, 0.1678]",0.0278,"[-0.0227, 0.0928]",0.6468,-0.1304,"[-0.4001, 0.1544]"
1094,CD244,Weight-for-age Z score,All,>6-9 months,255,0,-0.1353,-0.1091,"[-0.3681, 0.1708]",0.0299,"[-0.0177, 0.0934]",0.5751,-0.139,"[-0.3933, 0.135]"
1095,CD244,Weight-for-age Z score,Multi,>6-9 months,204,1,-2.2453,-0.1213,"[-0.4026, 0.173]",0.0062,"[-0.0403, 0.0579]",0.996,-0.1275,"[-0.4073, 0.1657]"
1096,CD244,Weight-for-age Z score,Multi,>6-9 months,204,0,-0.1258,-0.1169,"[-0.421, 0.1944]",0.0112,"[-0.0346, 0.0683]",0.9483,-0.1281,"[-0.4318, 0.1782]"
1097,CD244,Weight-for-age Z score,Single,>6-9 months,51,1,1.1098,-0.1515,"[-0.8559, 0.5071]",0.1858,"[-0.0353, 0.5463]",0.7644,-0.3373,"[-1.038, 0.3492]"
1098,CD244,Weight-for-age Z score,Single,>6-9 months,51,0,-0.3399,-0.1573,"[-0.8657, 0.5759]",0.1954,"[-0.0248, 0.5636]",0.546,-0.3527,"[-1.0529, 0.3514]"
1099,CD244,Weight-for-age Z score,All,>9-12 months,255,1,-0.7627,-0.108,"[-0.3493, 0.1537]",0.035,"[-0.0151, 0.1019]",0.4925,-0.1431,"[-0.4037, 0.1295]"
1100,CD244,Weight-for-age Z score,All,>9-12 months,255,0,-0.1482,-0.1153,"[-0.3658, 0.1568]",0.0363,"[-0.0096, 0.1041]",0.408,-0.1516,"[-0.4033, 0.1167]"
1101,CD244,Weight-for-age Z score,Multi,>9-12 months,204,1,-1.9362,-0.1168,"[-0.3885, 0.1724]",0.0142,"[-0.0303, 0.0692]",0.882,-0.1309,"[-0.4117, 0.1608]"
1102,CD244,Weight-for-age Z score,Multi,>9-12 months,204,0,-0.1289,-0.1131,"[-0.4129, 0.1926]",0.0183,"[-0.0253, 0.0775]",0.8768,-0.1314,"[-0.431, 0.1725]"
1103,CD244,Weight-for-age Z score,Single,>9-12 months,51,1,2.1979,-0.1809,"[-0.8796, 0.512]",0.1849,"[-0.0522, 0.5607]",0.868,-0.3657,"[-1.1158, 0.3562]"
1104,CD244,Weight-for-age Z score,Single,>9-12 months,51,0,-0.3741,-0.1911,"[-0.8964, 0.526]",0.1959,"[-0.0509, 0.5942]",0.6972,-0.387,"[-1.1285, 0.3588]"
1105,CD244,Weight-for-length Z score,All,Birth,245,1,-1.5556,0.0828,"[-0.2053, 0.4036]",0.0144,"[-0.034, 0.0699]",0.826,0.0684,"[-0.2247, 0.3887]"
1106,CD244,Weight-for-length Z score,All,Birth,245,0,0.0634,0.0774,"[-0.2176, 0.3966]",0.0179,"[-0.0286, 0.0774]",0.833,0.0595,"[-0.2378, 0.3774]"
1107,CD244,Weight-for-length Z score,Multi,Birth,194,1,-1.9128,0.1005,"[-0.2451, 0.4526]",0.0062,"[-0.0465, 0.062]",0.9616,0.0942,"[-0.2428, 0.4387]"
1108,CD244,Weight-for-length Z score,Multi,Birth,194,0,0.0972,0.1071,"[-0.251, 0.4783]",0.0112,"[-0.0409, 0.0757]",0.94,0.0958,"[-0.2573, 0.4535]"
1109,CD244,Weight-for-length Z score,Single,Birth,51,1,0.7191,-0.0525,"[-0.7553, 0.726]",0.117,"[-0.0874, 0.4212]",0.984,-0.1695,"[-0.9379, 0.6746]"
1110,CD244,Weight-for-length Z score,Single,Birth,51,0,-0.189,-0.0741,"[-0.8087, 0.6623]",0.1252,"[-0.0516, 0.396]",0.988,-0.1993,"[-0.9692, 0.5617]"
1111,CD244,Weight-for-length Z score,All,1 day-3 months,247,1,-0.5293,0.183,"[-0.043, 0.4134]",0.0125,"[-0.0288, 0.0614]",0.992,0.1705,"[-0.065, 0.4121]"
1112,CD244,Weight-for-length Z score,All,1 day-3 months,247,0,0.1667,0.1771,"[-0.0539, 0.4217]",0.0139,"[-0.0226, 0.0622]",0.931,0.1632,"[-0.0765, 0.4043]"
1113,CD244,Weight-for-length Z score,Multi,1 day-3 months,197,1,-1.1269,0.2935,"[0.0323, 0.5521]",0.0088,"[-0.0328, 0.0568]",0.97,0.2847,"[0.0201, 0.5486]"
1114,CD244,Weight-for-length Z score,Multi,1 day-3 months,197,0,0.2869,0.297,"[0.0262, 0.5655]",0.0117,"[-0.0266, 0.0633]",0.996,0.2853,"[0.0105, 0.5539]"
1115,CD244,Weight-for-length Z score,Single,1 day-3 months,50,1,1.0461,-0.3749,"[-0.9451, 0.1692]",0.1032,"[-0.0687, 0.3776]",0.99,-0.4781,"[-1.0439, 0.0911]"
1116,CD244,Weight-for-length Z score,Single,1 day-3 months,50,0,-0.4909,-0.3864,"[-0.9604, 0.1835]",0.1106,"[-0.0539, 0.364]",0.996,-0.497,"[-1.0499, 0.0566]"
1117,CD244,Weight-for-length Z score,All,>3-6 months,255,1,-1.0898,0.0009,"[-0.2802, 0.2773]",0.039,"[-0.0134, 0.1107]",0.492,-0.0381,"[-0.328, 0.2423]"
1118,CD244,Weight-for-length Z score,All,>3-6 months,255,0,-0.0419,-0.0051,"[-0.2825, 0.2754]",0.041,"[-0.0079, 0.1135]",0.318,-0.0461,"[-0.3277, 0.2493]"
1119,CD244,Weight-for-length Z score,Multi,>3-6 months,204,1,-2.3265,0.023,"[-0.2705, 0.3197]",0.0258,"[-0.0173, 0.09]",0.924,-0.0028,"[-0.3053, 0.3002]"
1120,CD244,Weight-for-length Z score,Multi,>3-6 months,204,0,-0.0025,0.0267,"[-0.2854, 0.3396]",0.031,"[-0.0129, 0.0963]",0.693,-0.0042,"[-0.3097, 0.3029]"
1121,CD244,Weight-for-length Z score,Single,>3-6 months,51,1,3.2545,-0.1431,"[-0.8731, 0.5735]",0.1424,"[-0.0951, 0.5021]",0.9828,-0.2855,"[-1.0663, 0.4775]"
1122,CD244,Weight-for-length Z score,Single,>3-6 months,51,0,-0.2971,-0.1505,"[-0.891, 0.6173]",0.1548,"[-0.1078, 0.5334]",0.96,-0.3053,"[-1.0907, 0.4833]"
1123,CD244,Weight-for-length Z score,All,>6-9 months,254,1,-0.8933,0.0068,"[-0.2461, 0.265]",0.0278,"[-0.0278, 0.0978]",1,-0.0209,"[-0.2879, 0.2492]"
1124,CD244,Weight-for-length Z score,All,>6-9 months,254,0,-0.0248,0.0008,"[-0.253, 0.2667]",0.0293,"[-0.0208, 0.0983]",0.868,-0.0286,"[-0.298, 0.2412]"
1125,CD244,Weight-for-length Z score,Multi,>6-9 months,203,1,-2.4442,0.0591,"[-0.2186, 0.3355]",0.0073,"[-0.0418, 0.0622]",0.996,0.0518,"[-0.2322, 0.3284]"
1126,CD244,Weight-for-length Z score,Multi,>6-9 months,203,0,0.0532,0.0636,"[-0.2126, 0.3526]",0.0126,"[-0.0345, 0.0722]",0.954,0.051,"[-0.241, 0.3419]"
1127,CD244,Weight-for-length Z score,Single,>6-9 months,51,1,2.4095,-0.3106,"[-1.03, 0.3838]",0.1934,"[-0.02, 0.5581]",0.945,-0.504,"[-1.2231, 0.1637]"
1128,CD244,Weight-for-length Z score,Single,>6-9 months,51,0,-0.5096,-0.3209,"[-1.0454, 0.4151]",0.2031,"[-0.0255, 0.5762]",0.924,-0.524,"[-1.2513, 0.2416]"
1129,CD244,Weight-for-length Z score,All,>9-12 months,255,1,-0.5666,-0.0363,"[-0.2897, 0.2323]",0.0426,"[-0.0122, 0.1174]",0.684,-0.0789,"[-0.3495, 0.1974]"
1130,CD244,Weight-for-length Z score,All,>9-12 months,255,0,-0.083,-0.0426,"[-0.2978, 0.2195]",0.0435,"[-0.0058, 0.1184]",0.6048,-0.0862,"[-0.3507, 0.1879]"
1131,CD244,Weight-for-length Z score,Multi,>9-12 months,204,1,-1.9538,0.0336,"[-0.2378, 0.3045]",0.0233,"[-0.0235, 0.0866]",0.9505,0.0103,"[-0.2752, 0.2959]"
1132,CD244,Weight-for-length Z score,Multi,>9-12 months,204,0,0.0122,0.0371,"[-0.2525, 0.3458]",0.0276,"[-0.017, 0.0922]",0.9063,0.0095,"[-0.2938, 0.3155]"
1133,CD244,Weight-for-length Z score,Single,>9-12 months,51,1,2.9917,-0.4044,"[-1.1514, 0.3325]",0.1871,"[-0.0358, 0.5506]",0.998,-0.5915,"[-1.368, 0.1557]"
1134,CD244,Weight-for-length Z score,Single,>9-12 months,51,0,-0.605,-0.4186,"[-1.1667, 0.3514]",0.1998,"[-0.0542, 0.6117]",1,-0.6184,"[-1.3983, 0.2037]"
1135,CD5,Length-for-age Z score,All,Birth,255,1,-1.2469,-0.1343,"[-0.3724, 0.1049]",0.0022,"[-0.0181, 0.0273]",0.964,-0.1365,"[-0.3805, 0.1065]"
1136,CD5,Length-for-age Z score,All,Birth,255,0,-0.1416,-0.1415,"[-0.3821, 0.1078]",0.0036,"[-0.0178, 0.03]",0.9681,-0.145,"[-0.391, 0.1014]"
1137,CD5,Length-for-age Z score,Multi,Birth,204,1,-0.9562,-0.1622,"[-0.4327, 0.0966]",-0.0004,"[-0.0278, 0.0239]",0.994,-0.1618,"[-0.4264, 0.0987]"
1138,CD5,Length-for-age Z score,Multi,Birth,204,0,-0.1651,-0.1692,"[-0.4507, 0.1158]",-0.0008,"[-0.0275, 0.025]",1,-0.1684,"[-0.4521, 0.1104]"
1139,CD5,Length-for-age Z score,Single,Birth,51,1,-3.1677,-0.0258,"[-0.5294, 0.4673]",0.0275,"[-0.1806, 0.2552]",1,-0.0532,"[-0.6217, 0.5041]"
1140,CD5,Length-for-age Z score,Single,Birth,51,0,-0.0763,-0.0362,"[-0.5619, 0.4958]",0.048,"[-0.1413, 0.2637]",0.984,-0.0842,"[-0.6597, 0.4876]"
1141,CD5,Length-for-age Z score,All,1 day-3 months,251,1,-1.3993,-0.1313,"[-0.3678, 0.1109]",0.0014,"[-0.0195, 0.0263]",0.962,-0.1327,"[-0.3675, 0.1092]"
1142,CD5,Length-for-age Z score,All,1 day-3 months,251,0,-0.137,-0.138,"[-0.3719, 0.1132]",0.0026,"[-0.0191, 0.0285]",0.984,-0.1406,"[-0.374, 0.1092]"
1143,CD5,Length-for-age Z score,Multi,1 day-3 months,201,1,-0.661,-0.203,"[-0.4678, 0.0621]",0.0008,"[-0.0286, 0.0325]",1,-0.2037,"[-0.4671, 0.0668]"
1144,CD5,Length-for-age Z score,Multi,1 day-3 months,201,0,-0.2048,-0.2055,"[-0.4801, 0.072]",0.0006,"[-0.0261, 0.0309]",0.996,-0.2061,"[-0.4845, 0.081]"
1145,CD5,Length-for-age Z score,Single,1 day-3 months,50,1,-2.9536,0.1991,"[-0.3696, 0.8077]",0.0666,"[-0.1102, 0.3035]",0.982,0.1325,"[-0.4601, 0.7639]"
1146,CD5,Length-for-age Z score,Single,1 day-3 months,50,0,0.1062,0.1939,"[-0.3927, 0.8399]",0.0878,"[-0.0601, 0.2996]",0.9765,0.1061,"[-0.4976, 0.7312]"
1147,CD5,Length-for-age Z score,All,>3-6 months,255,1,-0.77,-0.1025,"[-0.3723, 0.1622]",-0.0088,"[-0.0527, 0.0213]",0.966,-0.0937,"[-0.3443, 0.1639]"
1148,CD5,Length-for-age Z score,All,>3-6 months,255,0,-0.0983,-0.1103,"[-0.3643, 0.1598]",-0.0078,"[-0.05, 0.0195]",0.944,-0.1026,"[-0.356, 0.1715]"
1149,CD5,Length-for-age Z score,Multi,>3-6 months,204,1,-1.0328,-0.1619,"[-0.4627, 0.1288]",0.0147,"[-0.0322, 0.083]",0.9597,-0.1766,"[-0.4581, 0.1156]"
1150,CD5,Length-for-age Z score,Multi,>3-6 months,204,0,-0.1775,-0.1647,"[-0.4719, 0.1526]",0.0144,"[-0.0382, 0.0792]",0.956,-0.1791,"[-0.4848, 0.1447]"
1151,CD5,Length-for-age Z score,Single,>3-6 months,51,1,1.7615,0.0605,"[-0.5233, 0.6814]",0.062,"[-0.1553, 0.3405]",0.994,-0.0015,"[-0.6428, 0.6783]"
1152,CD5,Length-for-age Z score,Single,>3-6 months,51,0,0.0022,0.0541,"[-0.5131, 0.6753]",0.0528,"[-0.1294, 0.2762]",0.998,0.0012,"[-0.6116, 0.6136]"
1153,CD5,Length-for-age Z score,All,>6-9 months,255,1,-0.5389,-0.2368,"[-0.489, 0.0268]",-0.003,"[-0.0329, 0.0189]",0.992,-0.2338,"[-0.4843, 0.0309]"
1154,CD5,Length-for-age Z score,All,>6-9 months,255,0,-0.2404,-0.2471,"[-0.5066, 0.0302]",-0.0024,"[-0.0297, 0.0206]",0.9954,-0.2447,"[-0.4949, 0.0338]"
1155,CD5,Length-for-age Z score,Multi,>6-9 months,204,1,0.4663,-0.345,"[-0.6561, -0.0362]",0.01,"[-0.0243, 0.0627]",0.97,-0.3549,"[-0.6633, -0.0488]"
1156,CD5,Length-for-age Z score,Multi,>6-9 months,204,0,-0.3566,-0.348,"[-0.6724, -0.0259]",0.0108,"[-0.0284, 0.0606]",0.982,-0.3588,"[-0.6883, -0.0306]"
1157,CD5,Length-for-age Z score,Single,>6-9 months,51,1,-2.8824,0.1438,"[-0.4142, 0.7119]",0.1378,"[-0.0062, 0.3674]",0.819,0.006,"[-0.5345, 0.561]"
1158,CD5,Length-for-age Z score,Single,>6-9 months,51,0,-0.0259,0.1267,"[-0.4363, 0.7264]",0.158,"[0.0043, 0.38]",0.336,-0.0313,"[-0.5731, 0.5061]"
1159,CD5,Length-for-age Z score,All,>9-12 months,255,1,-1.1035,-0.1577,"[-0.3708, 0.0673]",0.0022,"[-0.0181, 0.0264]",0.938,-0.1599,"[-0.3735, 0.0659]"
1160,CD5,Length-for-age Z score,All,>9-12 months,255,0,-0.1659,-0.1662,"[-0.3887, 0.0725]",0.0033,"[-0.0177, 0.0279]",0.9215,-0.1695,"[-0.3911, 0.0706]"
1161,CD5,Length-for-age Z score,Multi,>9-12 months,204,1,-1.0543,-0.2739,"[-0.5306, -0.0255]",0.0039,"[-0.0186, 0.0374]",0.994,-0.2778,"[-0.531, -0.0308]"
1162,CD5,Length-for-age Z score,Multi,>9-12 months,204,0,-0.2782,-0.2764,"[-0.5487, 0.0026]",0.0038,"[-0.0188, 0.0343]",0.954,-0.2802,"[-0.549, -0.0062]"
1163,CD5,Length-for-age Z score,Single,>9-12 months,51,1,-0.6118,0.2395,"[-0.3043, 0.7816]",0.1635,"[-0.0017, 0.4172]",0.609,0.076,"[-0.484, 0.6385]"
1164,CD5,Length-for-age Z score,Single,>9-12 months,51,0,0.0643,0.2283,"[-0.2973, 0.7778]",0.1696,"[0.0097, 0.4131]",0.252,0.0586,"[-0.5008, 0.6246]"
1165,CD5,Weight-for-age Z score,All,Birth,255,1,-1.789,-0.084,"[-0.3169, 0.1419]",0.0015,"[-0.0163, 0.0227]",0.974,-0.0855,"[-0.3223, 0.1404]"
1166,CD5,Weight-for-age Z score,All,Birth,255,0,-0.0906,-0.0904,"[-0.3084, 0.1374]",0.0031,"[-0.0151, 0.0258]",0.962,-0.0935,"[-0.3161, 0.1359]"
1167,CD5,Weight-for-age Z score,Multi,Birth,204,1,-1.1359,-0.0928,"[-0.3472, 0.1657]",0.0003,"[-0.0224, 0.0245]",0.996,-0.0931,"[-0.3432, 0.1613]"
1168,CD5,Weight-for-age Z score,Multi,Birth,204,0,-0.0948,-0.0964,"[-0.351, 0.1681]",-0.0002,"[-0.0227, 0.0223]",0.996,-0.0962,"[-0.3498, 0.1655]"
1169,CD5,Weight-for-age Z score,Single,Birth,51,1,-5.86,-0.0604,"[-0.5236, 0.4695]",0.0671,"[-0.1578, 0.3338]",0.994,-0.1275,"[-0.6364, 0.4298]"
1170,CD5,Weight-for-age Z score,Single,Birth,51,0,-0.1666,-0.0725,"[-0.5583, 0.4415]",0.1021,"[-0.0479, 0.3169]",0.988,-0.1746,"[-0.6686, 0.3294]"
1171,CD5,Weight-for-age Z score,All,1 day-3 months,255,1,-1.2127,-0.024,"[-0.2425, 0.206]",0,"[-0.0206, 0.0204]",1,-0.024,"[-0.2431, 0.2075]"
1172,CD5,Weight-for-age Z score,All,1 day-3 months,255,0,-0.0286,-0.0298,"[-0.2444, 0.1999]",0.0013,"[-0.0157, 0.0221]",0.996,-0.0311,"[-0.2488, 0.1946]"
1173,CD5,Weight-for-age Z score,Multi,1 day-3 months,204,1,-0.9655,-0.0301,"[-0.2925, 0.2368]",0.0025,"[-0.0194, 0.0305]",0.994,-0.0326,"[-0.2936, 0.2343]"
1174,CD5,Weight-for-age Z score,Multi,1 day-3 months,204,0,-0.0327,-0.0312,"[-0.2922, 0.2447]",0.0021,"[-0.0196, 0.0293]",0.964,-0.0333,"[-0.2874, 0.2373]"
1175,CD5,Weight-for-age Z score,Single,1 day-3 months,51,1,-2.1357,-0.0697,"[-0.5467, 0.4394]",0.0733,"[-0.1523, 0.3655]",0.992,-0.1429,"[-0.6881, 0.3942]"
1176,CD5,Weight-for-age Z score,Single,1 day-3 months,51,0,-0.154,-0.0711,"[-0.55, 0.4431]",0.0871,"[-0.0628, 0.3092]",1,-0.1582,"[-0.6873, 0.3554]"
1177,CD5,Weight-for-age Z score,All,>3-6 months,255,1,-2.2821,-0.0585,"[-0.3204, 0.2116]",0.0001,"[-0.0239, 0.0241]",1,-0.0586,"[-0.3164, 0.2303]"
1178,CD5,Weight-for-age Z score,All,>3-6 months,255,0,-0.0656,-0.0671,"[-0.3265, 0.2214]",0.0021,"[-0.0181, 0.0271]",0.978,-0.0691,"[-0.3272, 0.2149]"
1179,CD5,Weight-for-age Z score,Multi,>3-6 months,204,1,-2.3052,-0.0752,"[-0.3637, 0.228]",0.0052,"[-0.0192, 0.0434]",0.998,-0.0804,"[-0.3761, 0.2202]"
1180,CD5,Weight-for-age Z score,Multi,>3-6 months,204,0,-0.0804,-0.0781,"[-0.3793, 0.2351]",0.004,"[-0.0208, 0.0374]",0.994,-0.0821,"[-0.3808, 0.2279]"
1181,CD5,Weight-for-age Z score,Single,>3-6 months,51,1,-2.2093,-0.0794,"[-0.6927, 0.5214]",0.1641,"[-0.0915, 0.5632]",0.98,-0.2435,"[-0.9364, 0.4603]"
1182,CD5,Weight-for-age Z score,Single,>3-6 months,51,0,-0.252,-0.0858,"[-0.7081, 0.5458]",0.1765,"[-0.0113, 0.4951]",0.658,-0.2623,"[-0.9395, 0.394]"
1183,CD5,Weight-for-age Z score,All,>6-9 months,255,1,-2.3003,-0.1003,"[-0.3605, 0.1774]",0.0012,"[-0.0207, 0.0262]",0.96,-0.1016,"[-0.3613, 0.1752]"
1184,CD5,Weight-for-age Z score,All,>6-9 months,255,0,-0.1083,-0.1088,"[-0.3676, 0.1699]",0.0032,"[-0.0197, 0.0306]",0.9077,-0.112,"[-0.3662, 0.1665]"
1185,CD5,Weight-for-age Z score,Multi,>6-9 months,204,1,-2.3708,-0.113,"[-0.3982, 0.1804]",0.0037,"[-0.0201, 0.0364]",0.996,-0.1167,"[-0.3973, 0.1696]"
1186,CD5,Weight-for-age Z score,Multi,>6-9 months,204,0,-0.1169,-0.1167,"[-0.417, 0.1974]",0.0025,"[-0.0212, 0.0324]",0.9483,-0.1192,"[-0.4183, 0.1852]"
1187,CD5,Weight-for-age Z score,Single,>6-9 months,51,1,-2.4348,-0.1444,"[-0.8098, 0.5244]",0.1713,"[-0.0485, 0.5346]",0.7644,-0.3157,"[-1.015, 0.3661]"
1188,CD5,Weight-for-age Z score,Single,>6-9 months,51,0,-0.3301,-0.1581,"[-0.8642, 0.5845]",0.1856,"[-0.0066, 0.4978]",0.546,-0.3438,"[-1.0611, 0.3711]"
1189,CD5,Weight-for-age Z score,All,>9-12 months,255,1,-1.5573,-0.1066,"[-0.3555, 0.155]",0.0038,"[-0.0164, 0.0302]",0.8068,-0.1104,"[-0.3622, 0.1551]"
1190,CD5,Weight-for-age Z score,All,>9-12 months,255,0,-0.1168,-0.115,"[-0.3671, 0.1513]",0.0052,"[-0.0162, 0.0338]",0.7093,-0.1202,"[-0.3724, 0.1507]"
1191,CD5,Weight-for-age Z score,Multi,>9-12 months,204,1,-1.8856,-0.1097,"[-0.3924, 0.1793]",0.0002,"[-0.0229, 0.0248]",0.992,-0.1098,"[-0.385, 0.1773]"
1192,CD5,Weight-for-age Z score,Multi,>9-12 months,204,0,-0.1098,-0.1129,"[-0.4017, 0.194]",-0.0007,"[-0.0229, 0.0213]",0.966,-0.1122,"[-0.4033, 0.187]"
1193,CD5,Weight-for-age Z score,Single,>9-12 months,51,1,-1.1307,-0.1787,"[-0.8635, 0.4966]",0.1692,"[-0.0637, 0.5445]",0.868,-0.3478,"[-1.0902, 0.3933]"
1194,CD5,Weight-for-age Z score,Single,>9-12 months,51,0,-0.3536,-0.1918,"[-0.8724, 0.5366]",0.1757,"[-0.0126, 0.496]",0.6972,-0.3675,"[-1.0959, 0.3658]"
1195,CD5,Weight-for-length Z score,All,Birth,245,1,-1.0151,0.088,"[-0.2052, 0.4095]",-0.0054,"[-0.0451, 0.024]",0.826,0.0935,"[-0.2048, 0.4223]"
1196,CD5,Weight-for-length Z score,All,Birth,245,0,0.0853,0.0776,"[-0.2194, 0.3944]",-0.0039,"[-0.0393, 0.0258]",0.968,0.0815,"[-0.2133, 0.4059]"
1197,CD5,Weight-for-length Z score,Multi,Birth,194,1,-0.0504,0.1107,"[-0.2446, 0.4693]",0.0037,"[-0.0268, 0.0486]",0.9616,0.107,"[-0.2444, 0.4645]"
1198,CD5,Weight-for-length Z score,Multi,Birth,194,0,0.1051,0.1075,"[-0.2471, 0.471]",0.004,"[-0.0284, 0.0455]",0.94,0.1036,"[-0.2474, 0.4695]"
1199,CD5,Weight-for-length Z score,Single,Birth,51,1,-5.6004,-0.0499,"[-0.8068, 0.7416]",0.0631,"[-0.2753, 0.438]",0.984,-0.1129,"[-0.8906, 0.647]"
1200,CD5,Weight-for-length Z score,Single,Birth,51,0,-0.1621,-0.0718,"[-0.8103, 0.6912]",0.0995,"[-0.1451, 0.4222]",0.988,-0.1714,"[-0.9144, 0.5838]"
1201,CD5,Weight-for-length Z score,All,1 day-3 months,247,1,0.0475,0.1844,"[-0.0415, 0.4158]",-0.0007,"[-0.0206, 0.0177]",0.992,0.1852,"[-0.0413, 0.4136]"
1202,CD5,Weight-for-length Z score,All,1 day-3 months,247,0,0.181,0.1771,"[-0.0516, 0.4242]",-0.0003,"[-0.019, 0.0174]",0.992,0.1774,"[-0.0549, 0.4191]"
1203,CD5,Weight-for-length Z score,Multi,1 day-3 months,197,1,-0.5327,0.2991,"[0.0412, 0.5568]",0.0013,"[-0.0204, 0.0268]",0.97,0.2978,"[0.0431, 0.5594]"
1204,CD5,Weight-for-length Z score,Multi,1 day-3 months,197,0,0.2978,0.2973,"[0.0376, 0.5678]",0.0009,"[-0.0198, 0.026]",0.996,0.2964,"[0.0274, 0.58]"
1205,CD5,Weight-for-length Z score,Single,1 day-3 months,50,1,0.7511,-0.3853,"[-1.0007, 0.2029]",0.0618,"[-0.1891, 0.3554]",0.99,-0.4471,"[-1.1235, 0.1734]"
1206,CD5,Weight-for-length Z score,Single,1 day-3 months,50,0,-0.4375,-0.3853,"[-0.9654, 0.1952]",0.0589,"[-0.1799, 0.3443]",0.996,-0.4442,"[-1.0563, 0.125]"
1207,CD5,Weight-for-length Z score,All,>3-6 months,255,1,-2.2431,0.002,"[-0.2737, 0.2793]",0.0081,"[-0.0229, 0.0457]",0.7744,-0.0061,"[-0.2925, 0.2644]"
1208,CD5,Weight-for-length Z score,All,>3-6 months,255,0,-0.0108,-0.0048,"[-0.2829, 0.2784]",0.0101,"[-0.0249, 0.0529]",0.7114,-0.0148,"[-0.2872, 0.2729]"
1209,CD5,Weight-for-length Z score,Multi,>3-6 months,204,1,-1.8916,0.0309,"[-0.2553, 0.3269]",-0.0066,"[-0.0469, 0.0245]",0.924,0.0375,"[-0.2471, 0.3245]"
1210,CD5,Weight-for-length Z score,Multi,>3-6 months,204,0,0.0357,0.0265,"[-0.2741, 0.3369]",-0.0075,"[-0.0519, 0.0206]",0.928,0.0339,"[-0.2662, 0.3534]"
1211,CD5,Weight-for-length Z score,Single,>3-6 months,51,1,-4.9003,-0.141,"[-0.8504, 0.5822]",0.162,"[-0.0895, 0.5261]",0.9828,-0.303,"[-1.0961, 0.4989]"
1212,CD5,Weight-for-length Z score,Single,>3-6 months,51,0,-0.3352,-0.1513,"[-0.8803, 0.5841]",0.1922,"[-0.0009, 0.4863]",0.714,-0.3435,"[-1.0654, 0.4091]"
1213,CD5,Weight-for-length Z score,All,>6-9 months,254,1,-2.2112,0.0081,"[-0.2478, 0.2702]",0.0033,"[-0.018, 0.0306]",1,0.0049,"[-0.247, 0.2697]"
1214,CD5,Weight-for-length Z score,All,>6-9 months,254,0,-0.0003,0.0011,"[-0.2517, 0.263]",0.0051,"[-0.0183, 0.0353]",0.97,-0.004,"[-0.255, 0.2606]"
1215,CD5,Weight-for-length Z score,Multi,>6-9 months,203,1,-2.9879,0.0676,"[-0.2091, 0.3353]",-0.0022,"[-0.0298, 0.0217]",0.996,0.0698,"[-0.2026, 0.3364]"
1216,CD5,Weight-for-length Z score,Multi,>6-9 months,203,0,0.0693,0.0632,"[-0.2202, 0.3463]",-0.0039,"[-0.0364, 0.0208]",0.954,0.0672,"[-0.2081, 0.3507]"
