,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
25,Anemia at gestational week 28,Length-for-age Z score,All,>9-12 months,548,1,-0.0857,-0.0095,"[-0.1718, 0.1558]",0.0051,"[-0.0102, 0.0255]",NA,-0.0146,"[-0.1812, 0.148]"
26,Anemia at gestational week 28,Length-for-age Z score,All,>9-12 months,548,0,-0.0191,-0.0162,"[-0.1697, 0.1453]",0.0049,"[-0.0109, 0.0245]",NA,-0.0212,"[-0.172, 0.1445]"
27,Anemia at gestational week 28,Length-for-age Z score,Multi,>9-12 months,432,1,-0.0852,-0.0717,"[-0.2575, 0.1102]",0.0002,"[-0.0175, 0.0215]",NA,-0.0719,"[-0.2546, 0.1078]"
28,Anemia at gestational week 28,Length-for-age Z score,Multi,>9-12 months,432,0,-0.0771,-0.0785,"[-0.2621, 0.1038]",0,"[-0.0185, 0.0177]",NA,-0.0785,"[-0.2572, 0.1049]"
29,Anemia at gestational week 28,Length-for-age Z score,Single,>9-12 months,116,1,-0.1711,0.1531,"[-0.1672, 0.4916]",0.0358,"[-0.0281, 0.1358]",NA,0.1173,"[-0.2121, 0.4471]"
30,Anemia at gestational week 28,Length-for-age Z score,Single,>9-12 months,116,0,0.1116,0.1446,"[-0.17, 0.4749]",0.0365,"[-0.0285, 0.1316]",NA,0.1081,"[-0.2118, 0.4383]"
31,Anemia at gestational week 28,Weight-for-age Z score,All,Birth,619,1,-0.1409,-0.139,"[-0.2992, 0.0217]",0.001,"[-0.0113, 0.0135]",NA,-0.14,"[-0.2976, 0.02]"
32,Anemia at gestational week 28,Weight-for-age Z score,All,Birth,619,0,-0.1447,-0.145,"[-0.2958, 0.0152]",0.0012,"[-0.0104, 0.0155]",NA,-0.1461,"[-0.2964, 0.0177]"
33,Anemia at gestational week 28,Weight-for-age Z score,Multi,Birth,474,1,-0.1411,-0.1968,"[-0.3741, -0.013]",-0.0002,"[-0.0114, 0.0103]",NA,-0.1966,"[-0.3746, -0.0168]"
34,Anemia at gestational week 28,Weight-for-age Z score,Multi,Birth,474,0,-0.2029,-0.2049,"[-0.3799, -0.0265]",0.0002,"[-0.0111, 0.0111]",NA,-0.2051,"[-0.3786, -0.0261]"
35,Anemia at gestational week 28,Weight-for-age Z score,Single,Birth,145,1,-0.0679,0.0786,"[-0.2773, 0.4381]",0.0102,"[-0.0677, 0.0996]",NA,0.0684,"[-0.2781, 0.4147]"
36,Anemia at gestational week 28,Weight-for-age Z score,Single,Birth,145,0,0.0594,0.069,"[-0.258, 0.4187]",0.0121,"[-0.0625, 0.093]",NA,0.057,"[-0.2671, 0.4]"
37,Anemia at gestational week 28,Weight-for-age Z score,All,1 day-3 months,606,1,-0.0654,-0.0515,"[-0.2071, 0.1099]",0.0052,"[-0.0067, 0.0215]",NA,-0.0567,"[-0.2122, 0.1052]"
38,Anemia at gestational week 28,Weight-for-age Z score,All,1 day-3 months,606,0,-0.0617,-0.0578,"[-0.2038, 0.0984]",0.0056,"[-0.0071, 0.0258]",NA,-0.0634,"[-0.2063, 0.0879]"
39,Anemia at gestational week 28,Weight-for-age Z score,Multi,1 day-3 months,467,1,-0.0682,-0.0583,"[-0.2341, 0.1238]",0.0008,"[-0.0204, 0.0245]",NA,-0.0591,"[-0.2314, 0.1155]"
40,Anemia at gestational week 28,Weight-for-age Z score,Multi,1 day-3 months,467,0,-0.0643,-0.0646,"[-0.2399, 0.1073]",0.0012,"[-0.0208, 0.024]",NA,-0.0659,"[-0.2401, 0.1083]"
41,Anemia at gestational week 28,Weight-for-age Z score,Single,1 day-3 months,139,1,-0.0735,-0.0475,"[-0.3901, 0.286]",-0.0092,"[-0.094, 0.0674]",NA,-0.0382,"[-0.3739, 0.3058]"
42,Anemia at gestational week 28,Weight-for-age Z score,Single,1 day-3 months,139,0,-0.0473,-0.0565,"[-0.3919, 0.303]",-0.0071,"[-0.0859, 0.069]",NA,-0.0494,"[-0.3692, 0.2993]"
